rank,name,director,score,score_num,quote
194,雨中曲,斯坦利·多南,9.1,182582,骨灰级歌舞片。
195,恋恋笔记本,尼克·卡索维茨,8.6,574009,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
196,魔女宅急便,宫崎骏,8.7,397095,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
197,2001太空漫游,斯坦利·库布里克,8.9,262687,现代科幻电影的开山之作，最伟大导演的最伟大影片。
198,城市之光,Charles,9.3,119746,永远的小人物，伟大的卓别林。
199,可可西里,陆川,8.8,258873,坚硬的信仰。
200,虎口脱险,杰拉尔·乌里,8.9,213087,永远看不腻的喜剧。
201,人工智能,史蒂文·斯皮尔伯格,8.7,382734,对爱的执着，可以超越一切。
202,二十二,郭柯,8.7,262819,有一些东西不应该被遗忘。
203,初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林,8.4,882647,黑小鸭速效美白记。
204,遗愿清单,罗伯·莱纳,8.7,361957,用剩余不多的时间，去燃烧整个生命。
205,海边的曼彻斯特,肯尼斯·罗纳根,8.6,424866,我们都有权利不与自己的过去和解。
206,大佛普拉斯,黄信尧,8.7,366508,人们可以登上月球，却永远无法探索人们内心的宇宙。
207,奇迹男孩,斯蒂芬·卓博斯基,8.6,493316,世界不完美，爱会有奇迹。
208,罗生门,黑泽明,8.8,267743,人生的N种可能性。
209,终结者2：审判日,詹姆斯·卡梅隆,8.8,300108,少见的超越首部的续集，动作片中的经典。
210,牯岭街少年杀人事件,杨德昌,8.9,233582,弱者送给弱者的一刀。
211,房间,伦尼·阿伯拉罕森,8.8,332789,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
212,源代码,邓肯·琼斯,8.5,712795,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
213,青蛇,徐克,8.6,450783,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
214,无间道2,刘伟强,8.7,378976,
215,东京教父,今敏,9.0,167585,
216,新龙门客栈,李惠民,8.6,383516,嬉笑怒骂，调风动月。
217,疯狂的麦克斯4：狂暴之路,乔治·米勒,8.6,454715,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
218,魂断蓝桥,茂文·勒鲁瓦,8.8,240581,中国式内在的美国电影。
219,波西米亚狂想曲,布莱恩·辛格,8.7,506917,
220,无耻混蛋,Quentin,8.6,411987,昆汀同学越来越变态了，比北野武还杜琪峰。
