职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
Java开发工程师,广州,,7-9k·13薪,一年以下统招本科,长隆集团,|餐饮/酒旅/服务|10000人以上|,王先生
高级java开发工程师,广州-越秀区,,15-20k,5-10年统招本科,广州市中智软件开发有限公司,|企业服务软件|100-499人|,李女士
Java程序经理（9-15k，项目大牛人多）,广州-越秀区,,10-15k,3-5年统招本科,广州市中智软件开发有限公司,|企业服务软件|100-499人|,李女士
Java开发工程师,广州-天河区,,15-25k·13薪,5-10年统招本科,大型国企企业,|云服务|融资未公开|1000-2000人|,潘女士
java,广州,,30-60k·16薪,5-10年统招本科,国内跨境电商知名公司,|跨境电商|已上市|2000-5000人|,赖女士
java开发经理,广州-天河区,,25-40k·15薪,3-5年统招本科,知名互联网企业,|社交网络|B轮|1000-2000人|,叶女士
java工程师,广州-天河区,,10-13k·13薪,1-3年学历不限,正通科技,|计算机软件|融资未公开|50-99人|,王女士
java,广州-番禺区,,30-40k·14薪,5-10年统招本科,知名跨境电商公司,|电子商务|C轮|10000人以上|,顾先生
资深Java开发工程师（仓储系统）,广州-番禺区,,28-40k,5-10年本科及以上,知名跨境电商互联网企业,|互联网/电商|1000-2000人|,刘先生
高级Java工程师（API）,广州,,35-55k,5-10年统招本科,知名国际银行IT中心,|计算机软件|战略融资|2000-5000人|,陈女士
JAVA Senior Developer,广州-天河区,,25-40k,5-10年本科及以上,世界100强外资银行,|IT服务|5000-10000人|,区女士
java工程师,广州,,20-40k·13薪,3-5年统招本科,广东**科技有限公司,|电子/芯片/半导体|融资未公开|100-499人|,胡先生
java工程师,广州,,18-25k·13薪,5-10年统招本科,国内知名互联网公司,|互联网/电商|100-499人|,李先生
java,广州-番禺区,,20-30k·13薪,3-5年本科及以上,广东某某科技有限公司,|计算机/网络设备|融资未公开|100-499人|,曹先生
高级java开发工程师,广州-天河区,,15-25k·13薪,3-5年大专及以上,某医疗软件招募,|计算机软件|100-499人|,唐女士
Java后端leader,广州-天河区,,30-50k·15薪,10年以上统招本科,趣丸科技,|互联网+|战略融资|500-999人|,王女士
JAVA开发工程师,广州-天河区,,8-13k,1-3年本科及以上,广州某某科技有限公司,|电子设备|A轮|100-499人|,王女士
java,广州,,20-40k·13薪,1-3年统招本科,某公司,|工业互联网|其他|50-99人|,李女士
java,广州,,12-22k,1-3年统招本科,某通信公司,|通信业|融资未公开|5000-10000人|,沈女士
软件工程师(JAVA),广州,,12-20k·13薪,3-5年统招本科,知名国企性质信息科技公司,|互联网/电商|融资未公开|1000-2000人|,曹女士
Software Development Manager( Java/ SpringBoot) Banking IT,广州,,50-70k,10年以上本科及以上,Fulltime hiring for global bank IT team,|计算机软件|5000-10000人|,陈女士
java开发工程师,广州-黄埔区,,12-24k,1-3年本科及以上,某大型互联网公司,|计算机软件|其他|100-499人|,成先生
java开发,广州,,15-30k·16薪,3-5年本科及以上,银行,|互联网金融|战略融资|2000-5000人|,康女士
java,广州-天河区,,35-55k·15薪,经验不限本科及以上,趣丸科技,|互联网+|战略融资|500-999人|,王女士
