id,名称,总阅读数,总鲜花数,总催更票数,总打赏(单位万),总月票数,总分享次数,评分,好评人数,小说分类
169,开局一血，杀系统祭天的我无敌了,621819,73758,7,154000.0,60,0,10,7779人,玄幻奇幻
170,四合院：秦淮茹，听说你上环了,563789,8563,1,2000000.0,5,0,10,1690人,同人小说
171,moba：从S3开始成中单噩梦,1351272,142306,65,527000.0,54,0,10,11532人,科幻网游
172,盗墓：吴老狗笔记，九门有个怪物,396201,18158,1,230000.0,19,0,10,1351人,都市言情
173,数码时代：开局神话黑亚古兽,625328,128917,39,88280000.0,38,0,10,10589人,同人小说
174,从美漫开始的幕后黑手,6210030,739814,215,247000.0,43,0,10,77674人,同人小说
175,武侠剪辑：从长生不死神开始盘点,984956,129381,17,57000.0,46,0,10,9230人,武侠仙侠
176,发条魔灵收养我，开局扮演钢铁侠,404026,179769,116,28000.0,113,0,10,10201人,同人小说
177,王者：开局扮演阿离，我惊艳全网,535988,219854,136,23000.0,267,0,10,17906人,科幻网游
178,你有男闺蜜，我有女兄弟！,776624,87370,28,76880000.0,39,0,10,8131人,都市言情
179,安然被抓，开坦克的我包围雇佣兵,1505278,240141,200,144000.0,40,1,10,14618人,军事历史
180,打击低配高价，我去越国开婚介所,2161438,863990,427,42000.0,91,1,10,40567人,都市言情
181,盗墓：我，开局收老胡胖子为小弟,2460614,543371,193,548000.0,44,0,10,45305人,同人小说
182,四合院，从会计员开始,1095806,53206,7,26000000.0,9,0,10,5525人,都市言情
183,四合院：开局贾张氏要我腾房,1151384,45126,2,16000000.0,3,0,10,4021人,同人小说
184,精灵：沉睡万年，被神榜唤醒！,554158,142515,104,51760000.0,18,1,10,5259人,同人小说
185,开局上交冰河世纪，打造雪国列车,1492113,244966,42,995000.0,22,0,10,14254人,都市言情
186,武侠：我修仙的身份被曝光了,479599,39282,4,26000000.0,13,0,10,3059人,武侠仙侠
187,普法：我就看了他一眼，也违法？,1529862,177676,100,65000.0,16,0,10,11016人,都市言情
188,让你改进军刀，没让你切坦克,2803904,193763,173,52640000.0,5,0,10,9864人,都市言情
189,四合院：神级选择从坑贾婆婆开始,698161,36794,15,111000.0,2,0,10,2382人,同人小说
190,游戏王剪辑：盘点十大翻盘对局,937995,156773,153,67000.0,26,0,10,8150人,同人小说
191,请我做积木小游戏，我做我的世界,523873,21813,15,1196000.0,26,0,10,2075人,都市言情
192,反派：给女主后妈当保镖,2015317,152605,43,448000.0,46,0,10,20852人,都市言情
193,寝室烧香，被误认为是算命先生,1061379,41196,29,26000000.0,3,0,10,3344人,都市言情
194,我的弟子全是沙雕玩家,19840834,8536407,7601,7097000.0,89,41,10,534618人,玄幻奇幻
195,四合院：你的报应就是我,2256176,252229,49,28760000.0,4,0,10,14728人,都市言情
196,叫你代管研究所，星舰都试飞了？,1654781,166866,59,87640000.0,21,1,10,17023人,军事历史
197,四合院特种兵：傻柱开局选择结婚,457314,47444,24,23000.0,44,0,10,3766人,同人小说
198,灭族之夜：让宇智波重新伟大起来,2562743,195341,44,89000.0,18,0,10,17189人,同人小说
199,四合院：逼我腾房，还想我捐款？,527210,62140,6,4000000.0,11,15,10,3617人,同人小说
200,四合院：天道神算，谁惹我坑死谁,896564,130154,5,590000.0,6,3,10,4217人,同人小说
201,洪荒：刚成混元大罗，洞府被挖了,549014,56133,26,330000.0,16,0,10,2849人,武侠仙侠
202,美食：我继承了一条小吃街,497605,63388,3,373000.0,44,0,10,4162人,都市言情
203,武侠：开局打造幕后黑手榜,10676000,1017274,457,39000.0,14,0,10,107756人,武侠仙侠
204,三国：曹家逆子，开局抢了邹氏,436899,48185,3,203000.0,49,2,10,3885人,军事历史
205,洪荒：开局修炼先天五太大罗法,509597,160234,3,152000.0,76,0,10,9938人,玄幻奇幻
206,疯了吧！你管这叫1级文明？,2202679,375748,270,534000.0,27,0,10,20929人,都市言情
207,Moba：人在EDG，致郁全球,3380158,379345,133,1027000.0,34,0,10,26739人,科幻网游
208,人在精灵：天道酬勤的我光速变强,4821848,770552,131,57000.0,105,6,10,64872人,同人小说
209,四合院：别惹我，谁惹坑谁,2990081,568617,268,566000.0,21,2,10,37959人,都市言情
210,视频通万界，开局盘点十大孙悟空,5317938,637190,893,1113000.0,16,0,10,34564人,玄幻奇幻
211,大明：老朱，你的外孙被人骗婚了！,1769333,223291,107,666000.0,24,0,10,16768人,军事历史
212,四合院:破碎的小丑,386268,101259,24,42760000.0,37,0,10,4213人,同人小说
213,破案：我的眼睛变成了智能扫描仪,1534434,221354,14,280000.0,30,0,10,13797人,都市言情
214,终极系列：我肖自在，开局当班导,514139,61223,32,343000.0,35,0,10,5736人,同人小说
215,电竞渣男，开局连甩周姐两次！,1120465,94807,23,273000.0,27,0,10,6824人,科幻网游
216,原神：我岩王帝君,2256150,229338,166,32000.0,40,0,10,21832人,同人小说
217,精灵剪辑：盘点十大最强神兽！！,944929,83225,20,30000.0,26,0,10,7695人,同人小说
218,播放动漫名场面，开局砸瓦鲁多！,2888149,214618,261,623000.0,43,0,10,17646人,同人小说
219,美漫：我的武仙身份被曝光了,597559,23682,8,181000.0,18,0,10,2406人,同人小说
220,数码：从光丘事件开始,1188462,311253,99,14000.0,102,0,10,24634人,同人小说
221,视频通动漫：剪辑最燃国漫瞬间！,1018002,52385,57,93520000.0,26,0,10,5766人,同人小说
222,万界入侵：天帝的我，被地球召唤,1428003,269366,108,325000.0,20,0,10,17222人,玄幻奇幻
223,给我爹烧纸，造成了地府货币膨胀,911028,128087,27,590000.0,15,0,10,8221人,恐怖灵异
224,开局假装倾家荡产，我看透了人心,2498232,247081,29,11000.0,37,0,10,15075人,都市言情
225,四合院：这个坑王，没人惹得起,964061,104168,7,252000.0,16,0,10,4500人,同人小说
226,反派：女主看了我剪辑，人设崩了,384692,41728,16,174000.0,19,0,10,2976人,都市言情
227,从大树开始的进化,37396536,6951953,5761,3349000.0,27,200,10,745436人,都市言情
228,四合院：我真的只想做个路人甲,1077664,81257,12,52000.0,31,0,10,12012人,同人小说
229,moba：让你背锅，你怎么就成FMVP了,2699097,455077,158,919000.0,20,0,10,21099人,科幻网游
230,人在食戟：开局一座深夜食堂,478355,125694,14,96640000.0,68,0,10,9424人,同人小说
231,刚成赛迦，老婆卡尔蜜拉,492544,43593,22,82520000.0,23,0,10,4902人,同人小说
232,四合院：开局觉醒神级选择系统,540903,11426,2,1000000.0,0,0,10,1541人,同人小说
233,四合院：谁道德绑架我，坑死谁,437773,21014,6,1000000.0,10,0,10,1906人,同人小说
234,末世直播：开局交易光刻机,1871952,514417,454,938000.0,87,0,10,33270人,恐怖灵异
235,特工：开局震惊郑耀先,5007933,970226,314,224000.0,19,2,10,46835人,军事历史
236,红楼：我真没想造反啊,579778,97533,49,18000.0,104,0,10,11238人,军事历史
237,洪荒：女儿，你竟然是天道？,3630243,420979,390,1169000.0,25,0,10,26309人,玄幻奇幻
238,编造世界：开局打造三体入侵,603856,115975,39,77280000.0,104,0,10,8821人,同人小说
239,我，武大郎，还是娶了潘金莲,2327950,410196,155,2580000.0,37,0,10,26541人,军事历史
240,加入聊天群的我，榨干了群员！,2419166,186271,41,25000.0,37,1,10,30202人,同人小说
241,我！刘星，开局秀翻全班,1530841,413583,100,31000.0,184,3,10,34711人,都市言情
242,虚圈斩虚百年，蓝染请我出山！,1898810,161139,93,330000.0,21,2,10,12482人,同人小说
243,都市：偶遇悍匪，我掏出自动步枪,1277509,58189,60,24760000.0,8,0,10,4146人,都市言情
244,军训之后，我在股市杀疯了！,2015426,275497,92,2114000.0,33,0,10,8846人,都市言情
245,鹰酱只是吹牛逼？那我研发的是啥,993771,27906,2,164000.0,3,0,10,2362人,都市言情
246,港综：我总华探长，给港岛立规矩,461002,20629,0,141000.0,11,0,10,3333人,同人小说
247,洪荒：我，食人树，身化禁区,2155975,197098,18,263000.0,24,1,10,18559人,玄幻奇幻
248,微型世界：我被当成了太古神明,6848708,843544,322,44000.0,30,6,10,94155人,玄幻奇幻
249,开局融合五条悟，被校花曝光了!,967713,310905,20,1877000.0,24,0,10,10759人,都市言情
250,洪荒阐教：大师兄饶命！,1667218,104487,37,542000.0,12,1,10,6161人,玄幻奇幻
251,综武：开局签到十万大军,4053423,980589,532,35000.0,48,0,10,80070人,武侠仙侠
252,武当摸鱼十年，六大派把我曝光了,459159,18667,0,110000.0,4,0,10,2507人,武侠仙侠
253,夫人，你竟然是魔教教主？,3324241,700947,498,79000.0,27,2,10,37253人,武侠仙侠
254,直播：开局逛地府，吓坏水友们,1720309,909142,724,382000.0,62,0,10,50854人,都市言情
255,伟大航路的龙骑士,3867770,809151,161,130000.0,48,0,10,69937人,同人小说
256,反派：恐怖世界？我家全是邪神！,556140,109913,42,342000.0,123,0,10,14801人,都市言情
257,国运探险，开局拐走baby5,1165743,188575,60,340000.0,72,0,10,16758人,同人小说
258,忍界剪辑：开局盘点十大友情,1164448,30925,36,73000000.0,31,0,10,3898人,同人小说
