职位名称,公司名称,工作地点,参考月薪,学历,发布时间
java工程师,厦门网中网软件有限公司,厦门市集美区,7000-8000,,2021-11-05 10:48
JAVA软件工程师,厦门明翰电气股份有限公司,厦门市,,大专,2021-11-05 10:43
高级Java工程师,九牧王股份有限公司,厦门市思明区,,本科,2021-11-05 10:33
Java架构师,厦门伯智人力资源管理有限公司,厦门市思明区,26000-50000,大专,2021-11-05 10:21
Java后端中级工程师,全路程物流科技有限公司,厦门市思明区,12000-15000,本科,2021-11-05 10:17
JAVA开发工程师,厦门基源医疗科技有限公司,厦门市,8000-10000,,2021-11-05 10:02
java开发工程师,厦门享游网络科技有限公司,福建省、厦门市思明区,8000-10000,大专,2021-11-05 09:56
Java高级工程师,厦门易驰软件有限公司,厦门市,9000-18000,大专,2021-11-05 09:52
java工程师,厦门易驰软件有限公司,厦门市思明区、厦门市,8000-15000,大专,2021-11-05 09:52
JAVA软件工程师,厦门信和达电子有限公司,厦门市思明区,10000-15000,本科,2021-11-05 09:49
高级JAVA,厦门欣动力人力资源管理有限公司,厦门市,15000-23000,本科,2021-11-05 09:49
Java工程师,麦乐峰（厦门）智能科技有限公司,厦门市思明区,12000-15000,本科,2021-11-05 09:48
JAVA开发工程师,厦门东博科技有限公司,厦门市思明区,6000-10000,本科,2021-11-05 09:42
高级JAVA开发工程师,厦门东博科技有限公司,厦门市思明区,8000-12000,本科,2021-11-05 09:42
JAVA研发工程师,厦门三联软件股份有限公司,福建省、厦门市集美区,8000-14000,,2021-11-05 09:39
Java开发工程师,厦门欧米克网络科技有限公司,厦门市、福建省、厦门市湖里区,12000-22000,,2021-11-05 09:38
java工程师/java开发工程师,芯群集成电路（厦门）有限公司,厦门市思明区,,大专,2021-11-05 09:37
Java工程师,厦门知晓物联技术服务有限公司,厦门市集美区,8000-15000,大专,2021-11-05 09:32
java程序员,北京朗新天霁软件技术有限公司,厦门市思明区,6000-12000,大专,2021-11-05 09:32
中级软件工程师（JAVA方向）,高伟达软件股份有限公司,厦门市思明区,,本科,2021-11-05 09:29
JAVA开发工程师/设计工程师（初/中/高级）,高伟达软件股份有限公司,厦门市,,大专,2021-11-05 09:29
JAVA架构师（001524）,高伟达软件股份有限公司,厦门市,,本科,2021-11-05 09:29
初级软件开发工程师/JAVA,高伟达软件股份有限公司,厦门市,,大专,2021-11-05 09:29
软件设计工程师（JAVA方向）,高伟达软件股份有限公司,厦门市思明区,,本科,2021-11-05 09:29
高级软件工程师（JAVA方向）,高伟达软件股份有限公司,厦门市,,本科,2021-11-05 09:29
见习项目经理（JAVA）,高伟达软件股份有限公司,厦门市思明区,,本科,2021-11-05 09:29
JAVA架构师,高伟达软件股份有限公司,厦门市思明区,,本科,2021-11-05 09:29
高级Java工程师,厦门卫星定位应用股份有限公司,厦门市,12000-20000,本科,2021-11-05 09:25
初级JAVA开发工程师,厦门卫星定位应用股份有限公司,厦门市,5000-8000,本科,2021-11-05 09:25
高级Java开发工程师,厦门卫星定位应用股份有限公司,厦门市思明区,10000-15000,本科,2021-11-05 09:25
中级JAVA开发工程师,厦门卫星定位应用股份有限公司,厦门市思明区,8000-12000,本科,2021-11-05 09:25
高级Java工程师,厦门市巨龙信息科技有限公司,厦门市,,大专,2021-11-05 09:23
Java工程师（实习生）,厦门市巨龙信息科技有限公司,厦门市集美区,2500-3500,本科,2021-11-05 09:23
java工程师,厦门市巨龙信息科技有限公司,厦门市集美区,8000-15000,大专,2021-11-05 09:23
高级JAVA工程师,厦门市易联众易惠科技有限公司,厦门市、福州市,15000-25000,本科,2021-11-05 09:22
中级JAVA工程师,厦门市易联众易惠科技有限公司,厦门市,8000-15000,本科,2021-11-05 09:22
JAVA工程师,厦门市易联众易惠科技有限公司,厦门市、厦门市思明区,8000-16000,本科,2021-11-05 09:22
初级JAVA工程师,厦门市易联众易惠科技有限公司,厦门市、福州市,6000-12000,,2021-11-05 09:22
JAVA高级工程师,厦门海迈科技股份有限公司,福建省、厦门市、厦门市思明区,10000-12000,,2021-11-05 09:21
Java开发,厦门荆艺软件有限公司,厦门市,5000-8000,大专,2021-11-05 09:21
Java实施工程师,厦门荆艺软件有限公司,厦门市,5000-7000,大专,2021-11-05 09:21
JAVA工程师（中级）,厦门市盛迅信息技术股份有限公司,厦门市、厦门市思明区、福建省,8000-10000,,2021-11-05 09:21
java开发工程师,厦门市盛迅信息技术股份有限公司,泉州市,9000-12000,,2021-11-05 09:21
资深java（技术经理）,厦门市盛迅信息技术股份有限公司,苏州市,18000-21000,,2021-11-05 09:21
JAVA开发工程师,厦门蓝海天信息技术有限公司,厦门市集美区,4000-8000,本科,2021-11-05 09:19
高级Java开发工程师,厦门蓝海天信息技术有限公司,厦门市集美区,6000-9000,本科,2021-11-05 09:19
Java项目经理,厦门蓝海天信息技术有限公司,厦门市集美区,6000-12000,本科,2021-11-05 09:19
Java开发工程师,厦门蓝海天信息技术有限公司,厦门市集美区,5500-10000,本科,2021-11-05 09:19
中级JAVA开发工程师,厦门农芯数字科技有限公司,厦门市湖里区,8000-15000,大专,2021-11-05 09:19
Java中级开发工程师,厦门兆慧网络科技有限公司,厦门市,8000-15000,,2021-11-05 09:18
Java高级开发工程师,厦门兆慧网络科技有限公司,厦门市,,,2021-11-05 09:18
JAVA开发工程师,厦门恒羿诚科技股份有限公司,厦门市,5000-10000,大专,2021-11-05 09:13
JAVA开发工程师,摩多（厦门）科技有限公司,厦门市、厦门市思明区,8000-15000,本科,2021-11-05 09:12
Java开发主管,厦门四信通信科技有限公司,厦门市集美区,14000-20000,本科,2021-11-05 09:10
java工程师,厦门四信通信科技有限公司,厦门市集美区,8000-15000,本科,2021-11-05 09:10
Java开发工程师（应届生） [实习],厦门四信物联网科技有限公司,厦门市集美区,2500,无,2021-11-05 09:06
中高级Java开发工程师（物联网）,厦门四信物联网科技有限公司,厦门市、厦门市集美区,,本科,2021-11-05 09:06
初级JAVA工程师,厦门畅享信息技术有限公司,厦门市湖里区,,大专,2021-11-05 09:04
中级JAVA工程师,厦门畅享信息技术有限公司,厦门市湖里区,8000-13000,大专,2021-11-05 09:04
高级JAVA工程师,厦门畅享信息技术有限公司,厦门市,10000-20000,本科,2021-11-05 09:04
JAVA研发工程师（面向21、22届）,厦门畅享信息技术有限公司,厦门市,,本科,2021-11-05 09:04
建发集团中级Java开发,厦门乐石科技有限公司,厦门市思明区,7000-12000,大专,2021-11-05 09:04
高级Java开发,厦门乐石科技有限公司,厦门市,10000-20000,,2021-11-05 09:04
中级JAVA开发工程师,厦门乐石科技有限公司,厦门市,8000-15000,,2021-11-05 09:04
JAVA开发工程师,福建天闻信息科技有限公司,厦门市集美区,5000-6500,大专,2021-11-05 09:03
高级JAVA开发工程师,福建天闻信息科技有限公司,厦门市集美区,8000-10000,本科,2021-11-05 09:03
中高级Java工程师,厦门安达出行科技有限公司,厦门市思明区,10000-18000,本科,2021-11-05 09:02
高级Java工程师,厦门安达出行科技有限公司,厦门市思明区,15000-26000,本科,2021-11-05 09:02
中高级Java工程师,厦门中远方舟网络科技有限公司,厦门市,10000-15000,本科,2021-11-05 09:01
JAVA开发工程师,天海欧康科技信息（厦门）有限公司,厦门市湖里区,7000-12000,,2021-11-05 09:00
资深Java架构师,厦门佰俊人力资源服务有限公司,上海市,30000-40000,,2021-11-05 09:00
项目经理/java架构师,厦门链石网络科技有限公司,厦门市思明区,15000-18000,大专,2021-11-05 09:00
Java工程师（高级/中级/初级）,厦门链石网络科技有限公司,厦门市思明区,10000-20000,,2021-11-05 09:00
JAVA开发工程师（中级/初级）,厦门链石网络科技有限公司,厦门市、厦门市思明区,5000-10000,,2021-11-05 09:00
java研发工程师,厦门石头城信息服务有限公司,厦门市集美区,12000-24000,本科,2021-11-05 09:00
java开发工程师,厦门立林集团有限公司,厦门市集美区,10000-15000,本科,2021-11-05 09:00
Java架构师,智业软件股份有限公司,厦门市,15000-25000,本科,2021-11-05 08:57
JAVA开发工程师,智业软件股份有限公司,厦门市,,本科,2021-11-05 08:57
